cycle_id,pond_id,species_id,total_seed,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,pond_size,padat_tebar,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,selling_price,cycle_lead_time,harvest_time,total_seed_type_actual,total_seed_type_gross,total_seed_type_net,pond_name_A,pond_name_A1,pond_name_A2,pond_name_A3,pond_name_A4,pond_name_Other,survival_rate,survival_rate_pred,avg_body_weight,avg_body_weight_pred
11422,25682,1,20000,4000.0,0,1.25,120,45.0,3999.85,79997062.0,70.0,2.5,0.11,150.0,150.0,22500,7350000,52,52,0,0,1,0,0,0,0,0,1,100.0,86.63,6.6,5.992141258209741
11424,25603,1,100000,1500.0,0,1.25,120,45.0,1499.91,149990880.0,216.5,8.33,0.34,235.0,250.0,58750,250,47,47,0,0,1,0,0,0,0,0,1,58.75,59.16,4.2,4.017370777159863
11509,23700,1,90000,1000.0,0,1.25,120,45.0,1000.01,90000801.0,368.0,6.34,0.04,100.0,200.0,20000,10400000,61,61,0,0,1,0,0,0,0,0,1,22.22,22.24,5.12,5.880022013692738
11544,23678,1,100000,1200.0,0,1.25,120,45.0,1200.0,120000000.0,779.0,13.91,0.15,192.0,352.0,33720,18600000,58,57,0,1,0,0,0,0,0,0,1,33.72,33.38,4.98,5.537284293383631
11609,24509,1,134335,2000.0,0,1.25,120,45.0,2000.02,268672310.56,3055.4,28.56,0.18,374.0,1509.13,92345,108063981,113,114,0,0,1,0,0,1,0,0,0,68.74,71.03,15.89,14.088080278765343
11618,19371,1,115000,3210.0,0,1.25,120,45.0,3210.16,369168331.0,448.0,9.14,0.02,230.0,200.0,46000,8600000,51,51,0,0,1,0,0,0,0,0,1,40.0,39.9,4.3,4.531136809046424
11632,23631,1,100000,1200.0,0,1.2,120,45.0,1200.0,120000000.0,1586.1,10.5,0.13,295.0,1320.6,92670,81264000,82,81,0,1,0,0,0,0,0,0,1,92.67,91.95,8.9,9.750063624053672
11638,24021,1,90000,1000.0,0,1.25,120,45.0,1000.01,90000801.0,725.0,11.15,0.22,210.0,577.54,60642,28600770,66,66,0,0,1,1,0,0,0,0,0,67.38,66.12,6.02,6.197553865194509
11639,24014,1,90000,900.0,0,1.25,120,45.0,900.0,81000000.0,725.0,10.36,0.2,74.0,334.0,24716,20040000,71,71,0,0,1,1,0,0,0,0,0,27.46,27.27,8.48,8.163298405598386
11675,19372,1,150000,2000.0,0,1.25,120,55.0,2000.02,300002580.0,818.0,10.62,0.01,707.0,815.0,101155,41110000,84,84,0,0,1,0,0,0,0,0,1,67.44,66.54,8.48,8.78742423187021
